Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
GendreauDumasExtended,n60w180.003.txt,61,1200.0,606.0,SMA-Beam,586.0,606.0,606.0,41045.0,28399,28,0,0.0,1,64.04,64040.00000000001,-35.90724547158027
GendreauDumasExtended,n60w180.004.txt,61,1200.0,629.0,SMA-Beam,628.0,629.0,629.0,3006.0,1999,2,0,0.0,1,110.83,110830.0,-97.28773797708202
GendreauDumasExtended,n60w180.005.txt,61,1200.0,528.0,SMA-Beam,524.0,528.0,528.0,522278.0,395399,395,0,0.0,1,102.2,102200.0,411.03522504892373
GendreauDumasExtended,n60w200.001.txt,61,1200.0,526.0,SMA-Beam,524.0,526.0,526.0,93564.0,76999,77,0,0.0,1,645.07,645070.0,-85.49552761715783
GendreauDumasExtended,n60w200.002.txt,61,1200.0,572.0,SMA-Beam,532.0,572.0,572.0,2620.0,1999,2,0,0.0,1,68.66,68660.0,-96.18409554325663
GendreauDumasExtended,n60w200.003.txt,61,1200.0,560.0,SMA-Beam,546.0,560.0,560.0,116116.0,96347,96,0,0.0,1,,,
GendreauDumasExtended,n60w200.004.txt,61,1200.0,575.0,SMA-Beam,480.0,575.0,575.0,14.0,0,0,0,0.0,1,53.71,53710.0,-99.97393409048594
GendreauDumasExtended,n60w200.005.txt,61,1200.0,618.0,SMA-Beam,465.0,618.0,618.0,14.0,0,0,0,0.0,1,159.49,159490.0,-99.99122202018935
GendreauDumasExtended,n80w100.001.txt,81,1200.0,676.0,SMA-Beam,669.0,676.0,676.0,2877.0,1599,1,0,0.0,1,43.5,43500.0,-93.38620689655173
GendreauDumasExtended,n80w100.002.txt,81,1200.0,721.0,SMA-Beam,692.0,721.0,721.0,497938.0,281599,281,0,0.0,1,232.78,232780.0,113.90927055588969
GendreauDumasExtended,n80w100.003.txt,81,1200.0,729.0,SMA-Beam,685.0,729.0,729.0,7450.0,3399,3,0,0.0,1,110.61,110610.0,-93.26462345176748
GendreauDumasExtended,n80w100.004.txt,81,1200.0,759.0,SMA-Beam,743.0,759.0,759.0,908699.0,526032,526,0,0.0,1,351.61,351610.0,158.43946417906204
